map	col1	col2	avgrr
3	20800000	20850000	6.64
3	20850000	20900000	6.5
3	20900000	20950000	6.28
3	20950000	21000000	6.06
3	21250000	21300000	4.46
3	21350000	21400000	4.09
3	21500000	21550000	3.26
3	21550000	21600000	3.08
3	22250000	22300000	0.8
3	22450000	22500000	0.31
3	22750000	22800000	0.03
3	22800000	22850000	0.07
3	22850000	22900000	0.11
3	22900000	22950000	0.33
3	23050000	23100000	0.69
3	23100000	23150000	0.82
3	23150000	23200000	1
3	23200000	23250000	1.17
3	23300000	23350000	1.55
3	23350000	23400000	1.82
3	23400000	23450000	2.29
3	23450000	23500000	2.57
3	23600000	23650000	3.41
3	23700000	23750000	4.22
3	23850000	23900000	5.81
3	24050000	24100000	7.42
3	24100000	24150000	7.7
3	24150000	24200000	8.16
3	24250000	24300000	9.27
3	24300000	24350000	9.51
3	24350000	24400000	9.98
3	24400000	24450000	10.274999999999999
3	24550000	24600000	11.55
3	24650000	24700000	12.42
3	24750000	24800000	13.23
3	24900000	24950000	14.06
3	24950000	25000000	14.245000000000001
3	25050000	25100000	14.74
3	25100000	25150000	15.03
3	25150000	25200000	15.26
3	25400000	25450000	15.74
3	25450000	25500000	15.76
3	25600000	25650000	15.75
3	25650000	25700000	15.67
3	25700000	25750000	15.57
3	25900000	25950000	13.83
3	25950000	26000000	13.24
3	26000000	26050000	13.04
3	26050000	26100000	12.32
3	26100000	26150000	12.13
3	26250000	26300000	10.53
3	26500000	26550000	8.48
3	26800000	26850000	6.31
4	0	50000	3.07
4	100000	150000	3.95
4	150000	200000	4.32
4	200000	250000	4.74
4	250000	300000	5.19
4	300000	350000	5.42
4	350000	400000	5.81
4	400000	450000	6.48
4	450000	500000	6.96
4	500000	550000	7.46
4	550000	600000	7.9
4	650000	700000	8.89
4	700000	750000	9.9
4	750000	800000	10.2
4	800000	850000	10.65
4	850000	900000	11.28
4	1000000	1050000	13.11
4	1050000	1100000	13.72
4	1150000	1200000	15.205
4	1200000	1250000	15.81
4	1250000	1300000	16.36
4	1450000	1500000	17.93
4	1550000	1600000	18.43
4	1600000	1650000	18.71
4	1650000	1700000	18.81
4	1700000	1750000	19.01
4	1750000	1800000	19.05
4	1800000	1850000	19.06
4	1850000	1900000	19.02
4	2000000	2049999	18.65
4	2049999	2100000	18.5
4	2100000	2150000	18.29
4	2400000	2450000	16.5
4	2450000	2500000	15.64
4	2500000	2550000	15.26
4	2550000	2600000	14.64
4	2600000	2650000	14.16
4	2750000	2800000	12.13
4	2800000	2850000	10.94
4	2850000	2900000	10.33
4	3000000	3050000	8.28
4	3250000	3300000	5.48
4	3400000	3450000	3.62
4	4000000	4050000	0.535
4	4099999	4150000	0.4
4	4150000	4200000	0.31
4	4500000	4550000	0.68
4	4700000	4750000	1.85
4	4750000	4800000	2.25
4	4800000	4850000	2.58
4	4850000	4900000	2.8
4	4900000	4950000	3.17
4	5050000	5100000	3.86
4	5200000	5250000	4.3
4	5250000	5300000	4.515000000000001
4	5300000	5350000	4.73
4	5350000	5400000	4.86
4	5400000	5450000	4.98
4	5500000	5550000	5.28
4	5550000	5600000	5.34
4	5700000	5750000	5.62
4	5800000	5850000	5.83
4	5850000	5900000	5.9
4	5900000	5950000	5.99
4	6000000	6050000	6.13
4	6050000	6100000	6.22
4	6100000	6150000	6.37
4	6200000	6250000	6.51
4	6250000	6300000	6.665
4	6350000	6400000	7.01
4	6500000	6550000	7.24
4	6550000	6600000	7.405
4	6600000	6650000	7.51
4	6700000	6750000	7.64
4	6750000	6800000	7.68
4	6850000	6900000	7.75
4	7000000	7050000	7.7
4	7050000	7100000	7.63
4	7100000	7150000	7.58
4	7200000	7250000	7.51
4	7300000	7350000	7.34
4	7400000	7450000	7.24
4	7450000	7500000	7.19
4	7500000	7550000	7.08
4	7600000	7650000	7.03
4	7650000	7700000	7.03
4	7700000	7750000	7.02
4	7800000	7850000	6.95
4	7900000	7950000	6.87
4	7950000	8000000	6.84
4	8000000	8050000	6.81
4	8050000	8100000	6.77
4	8100000	8150000	6.7
4	8199999	8250000	6.61
4	8250000	8300000	6.51
4	8300000	8350000	6.4
4	8400000	8450000	6.24
4	8450000	8500000	6.2
4	8500000	8550000	6.1
4	8600000	8650000	5.9350000000000005
4	8650000	8700000	5.84
4	8750000	8800000	5.71
4	8800000	8850000	5.66
4	8850000	8900000	5.57
4	8950000	9000000	5.51
4	9000000	9050000	5.48
4	9150000	9200000	5.49
4	9250000	9300000	5.53
4	9300000	9350000	5.61
4	9350000	9400000	5.64
4	9400000	9450000	5.7
4	9450000	9500000	5.73
4	9500000	9550000	5.77
4	9550000	9600000	5.83
4	9650000	9700000	5.92
4	9700000	9750000	5.99
4	9850000	9900000	6.16
4	9900000	9950000	6.22
4	10150000	10200000	6.41
4	10200000	10250000	6.44
4	10300000	10350000	6.46
4	10400000	10450000	6.5
4	10450000	10500000	6.51
4	10500000	10550000	6.53
4	10550000	10600000	6.52
4	10750000	10800000	6.49
4	10900000	10950000	6.46
4	11000000	11050000	6.41
4	11250000	11300000	6.19
4	11400000	11450000	6.03
4	11500000	11550000	5.89
4	11550000	11600000	5.8100000000000005
4	11850000	11900000	5.26
4	11900000	11950000	5.13
4	12000000	12050000	4.99
4	12100000	12150000	4.83
4	12200000	12250000	4.63
4	12250000	12300000	4.58
4	12300000	12350000	4.52
4	12350000	12400000	4.42
4	12400000	12450000	4.38
4	12650000	12700000	4.2
4	12700000	12750000	4.17
4	12850000	12900000	4.18
4	12900000	12950000	4.21
4	13000000	13050000	4.25
4	13050000	13100000	4.27
4	13150000	13200000	4.41
4	13200000	13250000	4.45
4	13250000	13300000	4.5
4	13350000	13400000	4.654999999999999
4	13400000	13450000	4.7
4	13500000	13550000	4.84
4	13700000	13750000	5.16
4	13800000	13850000	5.29
4	13850000	13900000	5.35
4	13900000	13950000	5.45
4	13950000	14000000	5.57
4	14100000	14150000	5.79
4	14150000	14200000	5.9
4	14200000	14250000	6.01
